Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,DGTL,Mi,Dir,,state_id,ID,Latitude,Longitude,Downlink,Uplink,Uplink Tone,Downlink Tone,County,Op Status,Sponsor,EchoLink,AllStar,Nets,Coordination,Last update,Web links,DMR Enabled,Color Code,DMR ID,IPSC Network,Wide Network,Talkgroups,Rocky Mountain Wide,Southern Colorado,Notes,Grid,Coverage,Features,Links,Affiliate,D-STAR Enabled,Node,Sources,Talkgroup Network,Worldwide,North America,English,Europe,TAC 310,DCI Bridge,Southwest USA,On-air,IRLP,Commands,Mixed-Mode,YSF Digital Enabled,DG-ID,Bandwidth,P-25 Digital Enabled,NAC,Default Reflector,Location Photo,Central Regional,Northern Colorado Regional,Feed
1291.7,-20,,KF5VBF,"Farmington, Farmington Bluffs",NM,CLOSED,,S,48.51,SSE,,35,16279,36.7083,-108.226,1291.7,1271.7,,,San Juan,On-Air,San Juan County,,,,NMFCC,2018-02-02,,,,,,,,,,,,,DV only,,,yes,KF5VBF (A) Repeater,jfindu lookup / dstar-users lookup,,,,,,,,,,,,,,,,,,,,,,
146.88,-0.6,100,KB5ITS,"Aztec, Tank Mtn",NM,OPEN,,,48.92,SE,,35,15629,36.8222,-107.993,146.88,146.28,100,,San Juan,On-Air,,,,,NMFCC,2018-01-15,http://www.sjcham.com,,,,,,,,,,,,,Full-time to the San Juan Connection System .,,,,,,,,,,,,,,,,,,,,,,,,,,
442.25,5,CC,N5UBJ,Aztec,NM,OPEN,,D,48.92,SE,2,35,12413,36.8222,-107.993,442.25,447.25,,,San Juan,On-Air,,,,,NMFCC,2018-01-21,http://www.aztrbonet.com/MinimalNetwatch,yes,1,313502,,yes,"Open Talkgroup View Assignment TS TG Access Worldwide 1 1 PTT North America 1 3 PTT English 1 13 Full-Time 2 Full-Time Europe 2 2 Full-Time TAC 310 2 310 PTT DCI Bridge 2 3100 PTT Southwest USA 2 3176 PTT function myFunction(id) { var x = document.getElementById(id); if (x.className.indexOf(""w3-show"") == -1) { x.className += "" w3-show""; } else { x.className = x.className.replace("" w3-show"", """"); } }",,,,,,,,,,,,AZ-TrboNet,1,1,1,2,2,2,2,,,,,,,,,,,,,,
447.45,-5,107.2,KB5ITS,Aztec,NM,OPEN,,,48.95,SE,,35,44,36.82220078,-107.99199677,447.45,442.45,107.2,,San Juan,On-Air,KB5ITS,,,,NMFCC,2017-07-19,,,,,,,,,,,,,"E-power, remote base.",,,,,,,,,,,,,,,,,,,,,,,,,,,
146.74,-0.6,100,NM5SJ,Aztec,NM,OPEN,,,48.95,SE,,35,43,36.8222,-107.992,146.74,146.14,100,,San Juan,On-Air,Totah ARC,,,,NMFCC,2017-07-19,,,,,,,,,,,,,"Closed autopatch, e-power.",,,,,,,,,,,,,,,,,,,,,,,,,,,
147.06,0.6,100,NM5SJ,"Nebo, Cedar Hill",NM,OPEN,,,49.02,SE,,35,16667,36.95,-107.85,147.06,147.66,100,,San Juan,On-Air,,,,,NMFCC,2018-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.27,0.6,127.3,KB5ITT,"Silverton, Engineer Mountain",CO,OPEN,,,49.12,E,,08,208,37.6992,-107.806,147.27,147.87,127.3,,San Juan,On-Air,KB5ITT,,,,CCARC,2017-04-14,,,,,,,,,,,,Wide area.,E-power.,,Durango ARC,,,,,,,,,,,,,,,,,,,,,,,,,
146.61,-0.6,100,KB5ITS,"Aztec, Hottel Hill",NM,OPEN,,,49.42,SE,,35,18461,36.80630112,-108.0019989,146.61,146.01,100,,Taos,On-Air,San Juan Connection,,,,,2020-01-13,http://www.sjcham.com,,,,,,,,,Linked to San Juan Connection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.115,-0.6,,KF5VBE,Farmington,NM,OPEN,,S,51.15,SE,,35,11428,36.7817,-107.99,145.115,144.515,,,San Juan,On-Air,,,,,,2018-01-29,,,,,,,,,,,,,,,,yes,KF5VBE (C) Gateway Repeater,jfindu lookup / dstar-users lookup,,,,,,,,,,,,,,,,,,,,,,
1291.1,-20,,KF5VBE,Aztec,NM,CLOSED,,S,51.18,SE,,35,16280,36.7823,-107.988,1291.1,1271.1,,,San Juan,On-Air,San Juan County,,,,NMFCC,2019-05-12,,,,,,,,,,,,,DV only,,,yes,KF5VBE (A) Repeater,jfindu lookup / dstar-users lookup,,,,,,,,,,,,,,,,,,,,,,
147.15,0.6,100,KB5ITS,"Ignacio, Spring Creek",CO,OPEN,,,54.86,SE,,08,8177,37.115,-107.633,147.15,147.75,100,,La Plata,On-Air,,,,,CCARC,2018-01-16,http://www.sjcham.com,,,,,,,,,,,Bayfield,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.65,-5,127.3,KB5ITS,Bloomfield,NM,OPEN,,,55.15,SE,,35,16636,36.7111,-107.985,448.65,443.65,127.3,,San Juan,On-Air,,,,,NMFCC,2018-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.92,-0.6,100,K5WXI,Bloomfield,NM,OPEN,,,55.18,SE,,35,50,36.7111,-107.984,146.92,146.32,100,,San Juan,On-Air,San Juan County OEM,,,,NMFCC,2017-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.7,-5,107.2,KB0YNA,"Telluride, Gray Head",CO,OPEN,I,,55.64,NE,,08,254,37.991,-107.972,449.7,444.7,107.2,107.2,San Miguel,On-Air,Grand Mesa Repeater Association ( GMRA ),,,RACES: Wed at 19:30.,CCARC,2017-12-07,,,,,,,,,,Closed IRLP out - Ask for a control Op,,Wide Area via links - Western Colorado - Eastern Utah,E-power.,Full-time to the GMRA Open System .,,,,,,,,,,,,,,3710,,,,,,,,,,,,
223.94,-1.6,,K7QEQ,"Monticello, Abajo Pk",UT,CLOSED,,,58.72,NW,,49,49,37.8392,-109.462,223.94,222.34,,,San Juan,,Grand Mesa Rptr Assoc,,,,UVHFS,,,,,,,,,,,,,"Wide area: Southeastern Utah, Southwest Colorado, Northwest New Mexico and extreme Northeastern Arizona, including Monticello, Blanding, and much of Canyonlands National Park.",11,,,,,,,,,,,,,,Unknown,,,,,,,,,,,,,
447.1,-5,107.2,K7QEQ,"Monticello, Abajo Peak",UT,OPEN,,,58.72,NW,,49,124,37.8392,-109.462,447.1,442.1,107.2,107.2,San Juan,On-Air,Grand Mesa Repeater Association (GMRA),,,,UVHFS,2017-04-07,http://gmra.org,,,,,,,,,11,,Wide area.,E-power.,Full-time to the GMRA Open System .,,,,,,,,,,,,,,,,,,,,,,,,,,
447.4,-5,,K7QEQ,"Monticello, Abajo Peak",UT,CLOSED,,,58.72,NW,,49,50,37.8392,-109.462,447.4,442.4,,,San Juan,,,,,,UVHFS,,,,,,,,,,,,,"Wide area: Southeastern Utah, Southwest Colorado, Northwest New Mexico and extreme Northeastern Arizona, including Monticello, Blanding, and much of Canyonlands National Park.",11,,Cactus-Intertie,,,,,,,,,,,,Unknown,,,,,,,,,,,,,
146.61,-0.6,88.5,K7SDC,"Monticello, Abajo Peak",UT,OPEN,EI,,58.72,NW,ON - IDLE,49,60,37.8392,-109.462,146.61,146.01,88.5,,San Juan,On-Air,Sinbad Desert ARC,64264,,,UVHFS,2017-04-07,http://www.sdarc.us/repeaters/abajo.html,,,,,,,,,11.36,,"Wide area: Southeastern Utah, Southwest Colorado, Northwest New Mexico and extreme Northeastern Arizona, including Monticello, Blanding, and much of Canyonlands National Park.",Remote base.,,,,,,,,,,,,,,,3270,,,,,,,,,,,,
447.275,-5,100,KB5ITS,"Monticello, Abajo Peak",UT,OPEN,,,58.77,NW,,49,18460,37.83940125,-109.46299744,447.275,442.275,100,,Wayne,On-Air,San Juan Connection,,,,,2020-01-13,http://www.sjcham.com,,,,,,,,,,,,,Full-time to the SAN JUAN CONNECTION System .,,,,,,,,,,,,,,,,,,,,,,,,,,
145.325,-0.6,127.3,KB5ITS,"Silverton, Buffalo Boy",CO,OPEN,,,59.72,E,,08,16605,37.8119,-107.665,145.325,144.725,127.3,,San Juan,On-Air,,,,,CCARC,2018-01-15,http://www.sjcham.com,,,,,,,,,,,,Solar powered,,,,,,,,,,,,,,,,,,,,,,,,,,,
444,5,67,KB5ITS,"Silverton, Hazelton",CO,OPEN,,,59.72,E,,08,16624,37.8119,-107.665,444,449,67,,San Juan,On-Air,,,,,,2018-08-03,http://www.sjcham.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.525,-5,127.3,KB5ITS,Silverton,CO,OPEN,,,59.77,E,,08,210,37.81190109,-107.66400146,447.525,442.525,127.3,,San Juan,On-Air,KB5ITS,,,,CCARC,2014-06-30,,,,,,,,,,,,Wide area.,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.375,0.6,156.7,KB5ITS,"Silverton, Kendall Mountain",CO,OPEN,,,60.74,E,,08,209,37.79330063,-107.6289978,147.375,147.975,156.7,,San Juan,On-Air,,,,,CCARC,2018-01-15,http://www.sjcham.com,,,,,,,,,,DM67ET,Wide area.,13,"Part-time to 146.67000 (K0EP) at Durango, Eagle Pass, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,
1292.3,-20,,KF5VBD,"Bloomfield, Harris Mesa",NM,CLOSED,,S,65.24,SE,,35,11429,36.65,-107.791,1292.3,1272.3,,,San Juan,On-Air,San Juan County,,,,NMFCC,2018-02-02,,,,,,,,,,,,,,,,yes,KF5VBD (A) Gateway Repeater,jfindu lookup / dstar-users lookup,,,,,,,,,,,,,,,,,,,,,,
147.36,0.6,100,KB5ITS,"Navajo Dam, Navajo Lake",NM,OPEN,,,65.38,SE,,35,15644,36.8,-107.62,147.36,147.96,100,,San Juan,On-Air,,,,,NMFCC,2018-01-15,http://www.sjcham.com,,,,,,,,,,,,,Full-time to the San Juan Connection System .,,,,,,,,,,,,,,,,,,,,,,,,,,
147.1,0.6,100,KB5ITS,"Bloomfield, Harris mesa",NM,OPEN,,,66.64,SE,,35,49,36.61,-107.81,147.1,147.7,100,,San Juan,On-Air,San Juan connection,,,,NMFCC,2018-01-15,http://www.sjcham.com,,,,,,,,,,,,,Full-time to the San Juan Connection System .,,,,,,,,,,,,,,,,,,,,,,,,,,
147.28,0.6,67,NM5ML,"Bloomfield, Harris Mesa",NM,OPEN,,,67,SE,,35,51,36.6067,-107.805,147.28,147.88,67,,San Juan,On-Air,,,,,NMFCC,2018-01-07,,,,,,,,,,,,Wide area.,6,Full-time to the Mega-Link System .,,,,,,,,,,,,,,,,,,,,,,,,,,
145.25,-0.6,100,KB5ITS,"Lukachukai, Roof Butte",AZ,OPEN,,,67.49,SSW,,04,163,36.4614,-109.096,145.25,144.65,100,,Apache,On-Air,San Juan Connection,,,,ARCA,2018-10-17,,,,,,,,,,,,,"E-power, linked.",Full-time to the San Juan Connection System .,,,,,,,,,,,,,,,,,,,,,,,,,,
146.82,-0.6,100,NM5SJ,"Red Rock, Roof Butte",AZ,OPEN,,,67.49,SSW,,04,72,36.4614,-109.096,146.82,146.22,100,,Apache,On-Air,Totah ARC,,,,ARCA,2018-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.27,0.6,127.3,KB5ITS,"Ouray, Engineer Mountain",CO,OPEN,,,68.35,NE,,08,16604,38.02280045,-107.67099762,147.27,147.87,127.3,,Ouray,On-Air,,,,,CCARC,2018-01-15,http://www.sjcham.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.8,-5,CC,AD0RM,"Ridgway, On top of Log Hill",CO,OPEN,,D,72.03,NE,,08,17998,38.18,-107.79,447.8,442.8,,,Ouray,On-Air,AD0RM,,,,,2019-08-17,,yes,1,,,yes,,,,,,Montrose to Ouray,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.9,-5,123,KD7HLL,Mexican Hat,UT,OPEN,,,75.55,W,,49,100,37.26929855,-109.95700073,449.9,444.9,123,,San Juan,On-Air,,,,,UVHFS,2018-01-15,,,,,,,,,,Part time link to two repeaters,DM57AG,"Lake Powell area from Bullfrog to Wahweap and Hite, toward the south into Arizona and North as far as Boulder.",6,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.61,-0.6,123,N0JSP,"Pagosa Springs, Oakbrush Hill",CO,OPEN,,,82.42,ESE,,08,188,37.193,-107.1,146.61,146.01,123,,Archuleta,On-Air,,,,,CCARC,2018-01-15,http://durangoarc.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.135,-0.6,123,KB5ITS,"Lake City, Hill 71",CO,OPEN,,,83.93,NE,,08,16607,38.03,-107.315,147.135,146.535,123,,Hinsdale,On-Air,,,,,CCARC,2018-01-15,http://www.sjcham.com,,,,,,,,,,,,E-power (solar),,,,,,,,,,,,,,,,,,,,,,,,,,,
448.825,-5,100,KB5ITS,"Montrose, Raspberry",CO,OPEN,,,84.14,NNE,,08,18465,38.41740036,-107.84600067,448.825,443.825,100,,Montrose,On-Air,San Juan Connection,,,,,2020-01-17,http://www.sjcham.com,,,,,,,,,,,"Nucla, Uncompahgre Plateau, coverage into Montrose and ?West End?",,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.4,-5,131.8,KB0YNA,"Delta, Uncompahgre Butte",CO,OPEN,I,,84.9,N,,08,127,38.5767,-108.647,449.4,444.4,131.8,131.8,Mesa,On-Air,"WA4HND, Grand Mesa Repeater Association",,,RACES Wed 1930 Hrs,CCARC,2016-08-19,http://www.gmra.org,,,,,,,,,Closed IRLP out - Ask for a control op,,Wide area via links - Western Colorado - Eastern Utah,E-power.,Full-time to the GMRA Open System .,,,,,,,,,,,,,,3710,,,,,,,,,,,,
146.91,-0.6,107.2,KC0UUX,Montrose,CO,OPEN,,,87.11,NNE,,08,12442,38.4783,-107.876,146.91,146.31,107.2,107.2,Montrose,On-Air,,,,,CCARC,2014-12-13,,,,,,,,,,,,,E-Power,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.79,-0.6,107.2,KD5OPD,Montrose,CO,OPEN,,,87.11,NNE,,08,7953,38.4783,-107.876,146.79,146.19,107.2,107.2,Montrose,On-Air,KC0UXX,,,,CCARC,2012-09-06,,,,,,,,,,,,,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.65,-5,,KB0YNA,"Montrose, Waterdog Peak",CO,OPEN,,,87.32,NE,,08,15213,38.38750076,-107.6740036,448.65,443.65,,151.4,Montrose,On-Air,KB0YNA,,,,,2016-10-11,,,,,,,,,,,,Wide area.,,"Full-time to 447.65000 (KB0YNA) at Gunnison, W Mountain or Tenderfoot Mountain, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,
447.2,-5,107.2,WA4HND,"Montrose, Waterdog Peak",CO,OPEN,I,,87.32,NE,,08,69,38.3875,-107.674,447.2,442.2,107.2,107.2,Montrose,On-Air,,,,RACES Net Wed at 1930 Hrs.,CCARC,2018-01-15,GMRA Repeaters,,,,,,,,,Closed IRLP out - Ask for a control op,,Delta/Montrose,9,Full-time to the GMRA Open System .,Grand Mesa Repeater Assoc,,,,,,,,,,,,,3710,,,,,,,,,,,,
449.525,-5,100,N0PKT,"Creede, Bristol Head",CO,OPEN,A,,89.29,E,,08,14923,37.7933,-107.055,449.525,444.525,100,100,Mineral,On-Air,N0PKT,,43265,,,2017-01-06,,,,,,,,,,,DM67lt,,,Full-time to the The Fun Machine System .,The Fun Machine,,,,,,,,,,,,,,,,,,,,,,,,,
146.76,-0.6,88.5,K7QEQ,"Moab, Bald Mesa",UT,OPEN,,,90.85,NNW,,49,13042,38.5286,-109.322,146.76,146.16,88.5,,Grand,On-Air,Sinbad Desert ARC,,,,UVHFS,2017-11-04,http://www.sdarc.us/repeaters/bald.html,,,,,,,,,8,,Moab and immediate surroundings.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.1,-5,107.2,K7QEQ,"Moab, Bald Mesa",UT,OPEN,,,90.92,NNW,,49,52,38.5286,-109.325,449.1,444.1,107.2,107.2,Grand,On-Air,Grand Mesa Repeater Association (GMRA),,,RACES Wed. 1930 hours,UVHFS,2017-11-04,GMRA Repeaters,,,,,,,,,,,"Wide area: Moab and surrounding areas, including large portions of Arches and Canyonlands National Parks.",8,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.43,-0.6,136.5,NM5SJ,Dulce,NM,OPEN,,,92,SE,,35,15624,36.9336,-106.999,145.43,144.83,136.5,,Rio Arriba,On-Air,SJC EMCOMM,,,,NMFCC,2017-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.49,-0.6,100,NM5SJ,Lybrook,NM,OPEN,,,95.67,SE,,35,128,36.23329926,-107.56199646,145.49,144.89,100,,Rio Arriba,On-Air,Totah ARC,,,,NMFCC,2017-01-16,,,,,,,,,,,,,Closed autopatch.,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.925,-0.6,,WA0JS,Creede,CO,OPEN,,,97.23,E,,08,63,37.8492,-106.926,146.925,146.325,,,Mineral,Off-Air,Creede ARC,,,,CCARC,2012-11-12,,,,,,,,,,WA0JS license expired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.9,-0.6,88.5,K7QEQ,Moab,UT,OPEN,,,99.58,NNW,,49,48,38.5739,-109.549,146.9,146.3,88.5,,Grand,On-Air,Sinbad Desert ARC,,,,UVHFS,2015-03-29,http://sdarc.us/repeaters/moab.html,,,,,,,,,,,Moab and immediate surroundings.,"Closed autopatch, remote base, linked to Bald Mesa (146.760).",,,,,,,,,,,,,,,,,,,,,,,,,,,
448.2,-5,100,KC5WDV,"Gallup, Deza Bluffs",NM,OPEN,,,100.43,S,,35,13539,35.90309906,-108.77200317,448.2,443.2,100,,McKinley,On-Air,,,,,NMFCC,2017-12-27,,,,,,,,,,,DM55OV,,,,McKinley County ARES,,,,,,,,,,,,,,,,,,,,,,,,,
147.22,0.6,67,NM5ML,"Gallup, Deza Bluffs",NM,OPEN,,,100.43,S,,35,89,35.90309906,-108.77200317,147.22,147.82,67,,McKinley,On-Air,New Mexico Mega Link Assoc,,,,NMFCC,2017-12-23,,,,,,,,,,,DM55OV,Wide area.,"Closed autopatch, e-power.",Full-time to the Mega-Link System .,,,,,,,,,,,,,,,,,,,,,,,,,,
448.15,-5,100,W0GJT,Grand Junction,CO,OPEN,EI,,107.22,N,Node Offline,08,153,38.899,-108.496,448.15,443.15,100,,Mesa,On-Air,,312189,,,CCARC,2016-04-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,7963,,,,,,,,,,,,
